Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Sao Tome and Principe","STP","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Senegal","SEN","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Serbia","SRB","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Seychelles","SYC","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Sierra Leone","SLE","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Solomon Islands","SLB","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Somalia","SOM","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","South Africa","ZAF","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","South Sudan","SSD","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Sri Lanka","LKA","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","St. Kitts and Nevis","KNA","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","St. Lucia","LCA","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","St. Vincent and the Grenadines","VCT","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Sudan","SDN","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Suriname","SUR","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Syrian Arab Republic","SYR","40"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Tajikistan","TJK","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Tanzania","TZA","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Thailand","THA","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Timor-Leste","TLS","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Togo","TGO","40"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Tonga","TON","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Trinidad and Tobago","TTO","40"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Tunisia","TUN","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Turkey","TUR","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Turkmenistan","TKM","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Tuvalu","TUV","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Uganda","UGA","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Ukraine","UKR","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Uruguay","URY","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Uzbekistan","UZB","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Vanuatu","VUT","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Venezuela, RB","VEN","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Vietnam","VNM","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","West Bank and Gaza","PSE","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Yemen, Rep.","YEM","50"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Zambia","ZMB","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Zimbabwe","ZWE","50"
,"","","",""
,"","","",""
,"","","",""
Data from database: Statistical Capacity Indicators,"","","",""
Last Updated: 01/24/2019,"","","",""
